	2016_1	2016_3	2016_2	2016_4	2017_2	2017_1	2017_3	2017_4	2017_5	2017_6	2017_7	2017_8
2016_1	0.0	0.221311873934	0.108651456015	0.144625895268	0.300495057989	0.241059180932	0.638131627162	0.223914038643	0.181667351236	0.422041691751	0.264209370795	0.268191238053
2016_3	0.221311873934	0.0	0.17278073931	0.206594679558	0.28338756938	0.26431364018	0.723956278357	0.272030250247	0.295400485775	0.320351384256	0.372030669402	0.366694210391
2016_2	0.108651456015	0.17278073931	0.0	0.117195492157	0.297950745013	0.26124218277	0.65855167935	0.236420538375	0.206680759353	0.409374568794	0.278359963724	0.295326869171
2016_4	0.144625895268	0.206594679558	0.117195492157	0.0	0.289798041901	0.259043490678	0.664215260639	0.230965356751	0.185363884124	0.383383098471	0.224958361086	0.232505311292
2017_2	0.300495057989	0.28338756938	0.297950745013	0.289798041901	0.0	0.11663226354	0.575153877346	0.15434351311	0.232236453799	0.201243286182	0.20578021646	0.252427389645
2017_1	0.241059180932	0.26431364018	0.26124218277	0.259043490678	0.11663226354	0.0	0.60416524593	0.0971431894624	0.156844022956	0.255654509415	0.160972571723	0.243749594581
2017_3	0.638131627162	0.723956278357	0.65855167935	0.664215260639	0.575153877346	0.60416524593	0.0	0.594493874769	0.638417020541	0.662091395399	0.592536807059	0.654859305306
2017_4	0.223914038643	0.272030250247	0.236420538375	0.230965356751	0.15434351311	0.0971431894624	0.594493874769	0.0	0.124800404662	0.283780139933	0.138108530157	0.250595580361
2017_5	0.181667351236	0.295400485775	0.206680759353	0.185363884124	0.232236453799	0.156844022956	0.638417020541	0.124800404662	0.0	0.346022898387	0.136769724353	0.218533409752
2017_6	0.422041691751	0.320351384256	0.409374568794	0.383383098471	0.201243286182	0.255654509415	0.662091395399	0.283780139933	0.346022898387	0.0	0.323561149139	0.345901403835
2017_7	0.264209370795	0.372030669402	0.278359963724	0.224958361086	0.20578021646	0.160972571723	0.592536807059	0.138108530157	0.136769724353	0.323561149139	0.0	0.214174578188
2017_8	0.268191238053	0.366694210391	0.295326869171	0.232505311292	0.252427389645	0.243749594581	0.654859305306	0.250595580361	0.218533409752	0.345901403835	0.214174578188	0.0
